Algoritmo,Instancia,Tempo_Nanosegundos,N_bins
NFD,BPP_50_50_0.1_0.7_0.txt,6230,31
NFD,BPP_50_50_0.1_0.7_1.txt,6100,29
NFD,BPP_50_50_0.1_0.7_2.txt,6080,28
NFD,BPP_50_50_0.1_0.7_3.txt,6120,28
NFD,BPP_50_50_0.1_0.7_4.txt,6200,32
NFD,BPP_50_50_0.1_0.7_5.txt,6000,24
NFD,BPP_50_50_0.1_0.7_6.txt,5980,27
NFD,BPP_50_50_0.1_0.7_7.txt,6310,31
NFD,BPP_50_50_0.1_0.7_8.txt,6810,29
NFD,BPP_50_50_0.1_0.7_9.txt,6270,30
NFD,BPP_50_50_0.1_0.8_0.txt,6340,31
NFD,BPP_50_50_0.1_0.8_1.txt,6130,34
NFD,BPP_50_50_0.1_0.8_2.txt,6320,33
NFD,BPP_50_50_0.1_0.8_3.txt,6280,28
NFD,BPP_50_50_0.1_0.8_4.txt,6000,31
NFD,BPP_50_50_0.1_0.8_5.txt,6190,32
NFD,BPP_50_50_0.1_0.8_6.txt,6010,30
NFD,BPP_50_50_0.1_0.8_7.txt,6450,32
NFD,BPP_50_50_0.1_0.8_8.txt,6070,30
NFD,BPP_50_50_0.1_0.8_9.txt,6090,32
NFD,BPP_50_50_0.2_0.7_0.txt,6560,31
NFD,BPP_50_50_0.2_0.7_1.txt,6020,34
NFD,BPP_50_50_0.2_0.7_2.txt,6520,30
NFD,BPP_50_50_0.2_0.7_3.txt,6020,30
NFD,BPP_50_50_0.2_0.7_4.txt,6200,32
NFD,BPP_50_50_0.2_0.7_5.txt,6260,31
NFD,BPP_50_50_0.2_0.7_6.txt,6700,30
NFD,BPP_50_50_0.2_0.7_7.txt,6180,35
NFD,BPP_50_50_0.2_0.7_8.txt,5910,35
NFD,BPP_50_50_0.2_0.7_9.txt,6370,34
NFD,BPP_50_50_0.2_0.8_0.txt,6340,32
NFD,BPP_50_50_0.2_0.8_1.txt,6200,33
