Algoritmo,Instancia,Tempo_Nanosegundos,N_bins
NF,Hard28_BPP119.txt,5790,103
NF,Hard28_BPP13.txt,5780,93
NF,Hard28_BPP14.txt,6410,83
NF,Hard28_BPP144.txt,5980,100
NF,Hard28_BPP175.txt,5980,113
NF,Hard28_BPP178.txt,6100,108
NF,Hard28_BPP181.txt,5630,101
NF,Hard28_BPP195.txt,5640,86
NF,Hard28_BPP359.txt,5790,104
NF,Hard28_BPP360.txt,5750,84
NF,Hard28_BPP40.txt,6210,78
NF,Hard28_BPP419.txt,5890,108
NF,Hard28_BPP47.txt,5950,98
NF,Hard28_BPP485.txt,5830,98
NF,Hard28_BPP531.txt,5810,113
NF,Hard28_BPP561.txt,5850,99
NF,Hard28_BPP60.txt,5560,85
NF,Hard28_BPP640.txt,5950,103
NF,Hard28_BPP645.txt,5610,76
NF,Hard28_BPP709.txt,5750,90
NF,Hard28_BPP716.txt,6120,104
NF,Hard28_BPP742.txt,5790,87
NF,Hard28_BPP766.txt,5640,84
NF,Hard28_BPP781.txt,6080,98
NF,Hard28_BPP785.txt,6170,95
NF,Hard28_BPP814.txt,5990,109
NF,Hard28_BPP832.txt,5770,78
NF,Hard28_BPP900.txt,6030,101
WF,Hard28_BPP119.txt,41630,92
WF,Hard28_BPP13.txt,38770,86
WF,Hard28_BPP14.txt,30970,75
WF,Hard28_BPP144.txt,42880,89
WF,Hard28_BPP175.txt,43510,101
WF,Hard28_BPP178.txt,47910,98
WF,Hard28_BPP181.txt,37230,89
WF,Hard28_BPP195.txt,36470,78
WF,Hard28_BPP359.txt,39700,92
WF,Hard28_BPP360.txt,31440,77
WF,Hard28_BPP40.txt,31620,71
WF,Hard28_BPP419.txt,44960,99
WF,Hard28_BPP47.txt,36650,88
WF,Hard28_BPP485.txt,40480,88
WF,Hard28_BPP531.txt,45100,101
WF,Hard28_BPP561.txt,43420,89
WF,Hard28_BPP60.txt,30390,76
WF,Hard28_BPP640.txt,38510,90
WF,Hard28_BPP645.txt,28870,71
WF,Hard28_BPP709.txt,34360,80
WF,Hard28_BPP716.txt,39450,92
WF,Hard28_BPP742.txt,29640,77
WF,Hard28_BPP766.txt,28780,75
WF,Hard28_BPP781.txt,50140,89
WF,Hard28_BPP785.txt,36370,85
WF,Hard28_BPP814.txt,46550,100
WF,Hard28_BPP832.txt,29380,71
WF,Hard28_BPP900.txt,40820,91
FF,Hard28_BPP119.txt,24570,81
FF,Hard28_BPP13.txt,20480,75
FF,Hard28_BPP14.txt,19410,66
FF,Hard28_BPP144.txt,24750,79
FF,Hard28_BPP175.txt,27010,93
FF,Hard28_BPP178.txt,25160,89
FF,Hard28_BPP181.txt,26000,78
FF,Hard28_BPP195.txt,19780,70
FF,Hard28_BPP359.txt,22850,82
FF,Hard28_BPP360.txt,19430,68
FF,Hard28_BPP40.txt,18620,63
FF,Hard28_BPP419.txt,26410,88
FF,Hard28_BPP47.txt,21450,78
FF,Hard28_BPP485.txt,24260,78
FF,Hard28_BPP531.txt,29240,93
FF,Hard28_BPP561.txt,24280,77
FF,Hard28_BPP60.txt,18730,69
FF,Hard28_BPP640.txt,22550,81
FF,Hard28_BPP645.txt,17510,63
FF,Hard28_BPP709.txt,21790,72
FF,Hard28_BPP716.txt,21710,83
FF,Hard28_BPP742.txt,19470,70
FF,Hard28_BPP766.txt,19020,66
FF,Hard28_BPP781.txt,23410,79
FF,Hard28_BPP785.txt,21690,75
FF,Hard28_BPP814.txt,26650,90
FF,Hard28_BPP832.txt,18860,64
FF,Hard28_BPP900.txt,25210,83
BF,Hard28_BPP119.txt,37410,82
BF,Hard28_BPP13.txt,31660,75
BF,Hard28_BPP14.txt,30810,66
BF,Hard28_BPP144.txt,38100,77
BF,Hard28_BPP175.txt,39260,92
BF,Hard28_BPP178.txt,65720,88
BF,Hard28_BPP181.txt,32980,78
BF,Hard28_BPP195.txt,34420,70
BF,Hard28_BPP359.txt,33640,82
BF,Hard28_BPP360.txt,29550,67
BF,Hard28_BPP40.txt,25840,63
BF,Hard28_BPP419.txt,38770,89
BF,Hard28_BPP47.txt,32810,79
BF,Hard28_BPP485.txt,35000,78
BF,Hard28_BPP531.txt,39240,93
BF,Hard28_BPP561.txt,35580,76
BF,Hard28_BPP60.txt,26930,68
BF,Hard28_BPP640.txt,35100,81
BF,Hard28_BPP645.txt,27080,62
BF,Hard28_BPP709.txt,30490,72
BF,Hard28_BPP716.txt,32720,82
BF,Hard28_BPP742.txt,27980,69
BF,Hard28_BPP766.txt,29100,67
BF,Hard28_BPP781.txt,37870,79
BF,Hard28_BPP785.txt,32190,75
BF,Hard28_BPP814.txt,40900,91
BF,Hard28_BPP832.txt,27830,64
BF,Hard28_BPP900.txt,38190,84
NFD,Hard28_BPP119.txt,34150,107
NFD,Hard28_BPP13.txt,29350,96
NFD,Hard28_BPP14.txt,27240,86
NFD,Hard28_BPP144.txt,31250,103
NFD,Hard28_BPP175.txt,31510,116
NFD,Hard28_BPP178.txt,32190,113
NFD,Hard28_BPP181.txt,30900,100
NFD,Hard28_BPP195.txt,29420,89
NFD,Hard28_BPP359.txt,32380,103
NFD,Hard28_BPP360.txt,26700,87
NFD,Hard28_BPP40.txt,26020,79
NFD,Hard28_BPP419.txt,40360,111
NFD,Hard28_BPP47.txt,30100,98
NFD,Hard28_BPP485.txt,31660,99
NFD,Hard28_BPP531.txt,31910,117
NFD,Hard28_BPP561.txt,32620,101
NFD,Hard28_BPP60.txt,27900,88
NFD,Hard28_BPP640.txt,32710,103
NFD,Hard28_BPP645.txt,26040,81
