Algoritmo,Instancia,Tempo_Nanosegundos,N_bins
NF,Waescher_TEST0005.txt,5230,33
NF,Waescher_TEST0014.txt,5460,27
NF,Waescher_TEST0022.txt,5320,17
NF,Waescher_TEST0030.txt,6090,32
NF,Waescher_TEST0044.txt,5590,15
NF,Waescher_TEST0049.txt,6020,12
NF,Waescher_TEST0054.txt,5480,15
NF,Waescher_TEST0055A.txt,5670,16
NF,Waescher_TEST0055B.txt,6440,22
NF,Waescher_TEST0058.txt,5840,24
NF,Waescher_TEST0065.txt,5340,19
NF,Waescher_TEST0068.txt,5320,13
NF,Waescher_TEST0075.txt,5770,14
NF,Waescher_TEST0082.txt,5170,32
NF,Waescher_TEST0084.txt,5380,19
NF,Waescher_TEST0095.txt,5420,18
NF,Waescher_TEST0097.txt,5230,13
WF,Waescher_TEST0005.txt,15990,31
WF,Waescher_TEST0014.txt,13770,26
WF,Waescher_TEST0022.txt,8890,16
WF,Waescher_TEST0030.txt,14930,31
WF,Waescher_TEST0044.txt,14020,15
WF,Waescher_TEST0049.txt,12340,12
WF,Waescher_TEST0054.txt,13420,15
WF,Waescher_TEST0055A.txt,13000,16
WF,Waescher_TEST0055B.txt,20450,21
WF,Waescher_TEST0058.txt,12650,22
WF,Waescher_TEST0065.txt,9270,17
WF,Waescher_TEST0068.txt,15540,13
WF,Waescher_TEST0075.txt,17830,14
WF,Waescher_TEST0082.txt,12580,27
WF,Waescher_TEST0084.txt,11460,17
WF,Waescher_TEST0095.txt,15590,17
WF,Waescher_TEST0097.txt,11940,13
FF,Waescher_TEST0005.txt,10980,29
FF,Waescher_TEST0014.txt,9850,24
FF,Waescher_TEST0022.txt,7850,15
FF,Waescher_TEST0030.txt,10740,29
FF,Waescher_TEST0044.txt,10580,15
FF,Waescher_TEST0049.txt,10000,12
FF,Waescher_TEST0054.txt,10210,15
FF,Waescher_TEST0055A.txt,10700,16
FF,Waescher_TEST0055B.txt,14590,21
FF,Waescher_TEST0058.txt,8750,21
FF,Waescher_TEST0065.txt,8090,16
FF,Waescher_TEST0068.txt,10940,13
FF,Waescher_TEST0075.txt,11850,14
FF,Waescher_TEST0082.txt,9850,25
FF,Waescher_TEST0084.txt,9160,17
FF,Waescher_TEST0095.txt,10880,17
FF,Waescher_TEST0097.txt,9060,13
BF,Waescher_TEST0005.txt,14040,30
BF,Waescher_TEST0014.txt,13470,25
BF,Waescher_TEST0022.txt,9120,16
BF,Waescher_TEST0030.txt,14670,30
BF,Waescher_TEST0044.txt,12780,16
BF,Waescher_TEST0049.txt,11040,13
BF,Waescher_TEST0054.txt,12770,16
BF,Waescher_TEST0055A.txt,11950,17
BF,Waescher_TEST0055B.txt,18670,22
BF,Waescher_TEST0058.txt,11320,22
BF,Waescher_TEST0065.txt,9590,17
BF,Waescher_TEST0068.txt,11430,14
BF,Waescher_TEST0075.txt,14490,15
BF,Waescher_TEST0082.txt,12350,26
BF,Waescher_TEST0084.txt,9980,18
BF,Waescher_TEST0095.txt,12480,18
BF,Waescher_TEST0097.txt,11050,14
NFD,Waescher_TEST0005.txt,19080,33
NFD,Waescher_TEST0014.txt,19360,28
NFD,Waescher_TEST0022.txt,12440,16
NFD,Waescher_TEST0030.txt,20910,31
NFD,Waescher_TEST0044.txt,26240,15
NFD,Waescher_TEST0049.txt,23040,12
NFD,Waescher_TEST0054.txt,22820,15
NFD,Waescher_TEST0055A.txt,22890,17
NFD,Waescher_TEST0055B.txt,35980,22
NFD,Waescher_TEST0058.txt,16810,23
NFD,Waescher_TEST0065.txt,12580,18
NFD,Waescher_TEST0068.txt,25440,13
NFD,Waescher_TEST0075.txt,35670,14
NFD,Waescher_TEST0082.txt,16550,33
NFD,Waescher_TEST0084.txt,19280,18
NFD,Waescher_TEST0095.txt,24320,18
NFD,Waescher_TEST0097.txt,18860,13
WFD,Waescher_TEST0005.txt,29310,29
WFD,Waescher_TEST0014.txt,27030,24
WFD,Waescher_TEST0022.txt,15580,15
WFD,Waescher_TEST0030.txt,29080,28
WFD,Waescher_TEST0044.txt,32540,15
WFD,Waescher_TEST0049.txt,28500,12
WFD,Waescher_TEST0054.txt,31560,15
WFD,Waescher_TEST0055A.txt,30010,16
WFD,Waescher_TEST0055B.txt,49400,21
WFD,Waescher_TEST0058.txt,24430,21
WFD,Waescher_TEST0065.txt,16090,16
WFD,Waescher_TEST0068.txt,37100,13
WFD,Waescher_TEST0075.txt,48190,14
WFD,Waescher_TEST0082.txt,26750,25
WFD,Waescher_TEST0084.txt,21410,17
WFD,Waescher_TEST0095.txt,36610,17
WFD,Waescher_TEST0097.txt,28890,13
FFD,Waescher_TEST0005.txt,26580,29
FFD,Waescher_TEST0014.txt,22100,24
FFD,Waescher_TEST0022.txt,17430,15
FFD,Waescher_TEST0030.txt,25350,28
FFD,Waescher_TEST0044.txt,32940,15
FFD,Waescher_TEST0049.txt,27650,12
FFD,Waescher_TEST0054.txt,28780,15
FFD,Waescher_TEST0055A.txt,28920,16
FFD,Waescher_TEST0055B.txt,55310,21
FFD,Waescher_TEST0058.txt,21570,21
FFD,Waescher_TEST0065.txt,15840,16
FFD,Waescher_TEST0068.txt,34560,13
FFD,Waescher_TEST0075.txt,41950,14
FFD,Waescher_TEST0082.txt,21720,25
FFD,Waescher_TEST0084.txt,19870,17
FFD,Waescher_TEST0095.txt,34400,17
FFD,Waescher_TEST0097.txt,23670,13
BFD,Waescher_TEST0005.txt,30400,30
BFD,Waescher_TEST0014.txt,26400,25
BFD,Waescher_TEST0022.txt,17230,16
BFD,Waescher_TEST0030.txt,30930,29
BFD,Waescher_TEST0044.txt,33760,16
BFD,Waescher_TEST0049.txt,29620,13
BFD,Waescher_TEST0054.txt,32620,16
BFD,Waescher_TEST0055A.txt,29030,17
BFD,Waescher_TEST0055B.txt,49070,22
BFD,Waescher_TEST0058.txt,23360,22
BFD,Waescher_TEST0065.txt,17120,17
BFD,Waescher_TEST0068.txt,32850,14
BFD,Waescher_TEST0075.txt,44180,15
BFD,Waescher_TEST0082.txt,23870,26
BFD,Waescher_TEST0084.txt,21790,18
BFD,Waescher_TEST0095.txt,31520,18
BFD,Waescher_TEST0097.txt,27340,14
